id,time_key,product_key,promotion_key,store_key,dollar_sales,unit_sales,dollar_cost,customer_count
146,146,1,11,13,115.95,69,99.6,55
147,147,1,11,2,25.89,15,21.35,11
148,148,1,11,12,141.35,84,125.77,64
149,149,1,11,8,42.4,25,34.61,21
150,150,1,11,20,40.68,24,36.12,14
151,151,1,11,12,103.12,61,89.65,56
152,152,1,11,2,139.05,82,114.97,69
153,153,1,11,8,73.15,43,64.63,26
154,154,1,11,15,36.78,22,33.04,21
155,155,1,11,18,110.01,65,93.03,38
156,156,1,11,13,62.07,37,49.99,28
157,157,1,11,2,76.26,45,63.28,44
158,158,1,11,1,103.77,61,88.55,32
159,159,1,11,15,165.83,98,137.49,67
160,160,1,11,7,39.82,24,34.22,20
161,161,1,11,6,97.49,58,87.65,56
162,162,1,11,5,130.11,77,109.39,63
163,163,1,11,10,163.83,97,133.97,77
164,164,1,11,14,110.01,65,96.13,58
165,165,1,11,9,84.45,50,72.41,26
166,166,1,11,9,24.68,15,20.52,15
167,167,1,11,13,70.35,42,59.59,22
168,168,1,11,10,159.72,95,132.13,55
169,169,1,11,11,86.69,51,72.79,32
170,170,1,11,2,61.64,36,52.68,34
171,171,1,11,9,64.36,38,51.85,21
172,172,1,11,3,44.72,26,36.4,14
173,173,1,11,14,87.43,52,76.94,51
174,174,1,11,11,105.63,63,87.99,40
175,175,1,11,14,64.96,38,53.3,36
176,176,1,11,4,102.91,61,87.98,53
177,177,1,11,3,1.32,1,1.16,1
178,178,1,11,6,161.08,95,131.91,68
179,179,1,11,8,165.56,98,142.03,75
180,180,1,11,3,5.27,3,4.63,3
181,181,1,11,5,78.89,47,68.83,33
182,182,1,11,5,93.14,55,78.81,45
183,183,1,11,16,26.57,16,21.52,8
184,184,1,11,11,38.22,23,31.9,21
185,1,2,1,10,114.89,85,115.88,48
186,2,2,1,20,111.33,82,125.2,51
187,3,2,1,14,131.24,97,138.14,51
188,4,2,1,18,33.68,25,36.24,17
189,5,2,1,11,73.9,55,82.77,48
190,6,2,1,9,77.58,57,81.89,30
191,7,2,1,1,56.24,42,58.81,34
192,8,2,1,4,21.13,16,23.7,10
193,9,2,1,2,95.99,71,99.02,64
194,10,2,1,18,36.64,27,38.76,26
195,11,2,1,19,119.58,88,128.14,63
196,12,2,1,17,121.08,90,123.4,79
197,13,2,1,14,112.68,83,123.63,74
198,14,2,1,10,76.33,56,77.9,37
199,15,2,1,10,117.11,87,122.74,85
200,16,2,11,11,75.52,45,66.3,29
201,17,2,11,2,97.89,58,86.75,52
202,18,2,11,16,8.5,5,7.5,3
203,19,2,11,6,152.62,90,137.17,57
204,20,2,11,11,36.02,21,29.54,12
205,21,2,11,13,144.83,86,117.14,51
206,22,2,11,13,48.3,29,42.66,19
207,23,2,11,20,133.79,79,117.81,64
208,24,2,11,8,111.67,66,95.85,35
209,25,2,11,17,25.57,15,21.26,11
210,26,2,11,9,9.51,6,8.46,3
211,27,2,11,2,6.2,4,5.05,3
212,28,2,11,6,35.52,21,29.22,16
213,29,2,11,13,159.37,94,133.59,64
214,30,2,11,1,83.41,49,70.13,48
215,31,2,11,6,7.52,4,6.62,3
216,32,2,11,11,24.85,15,21.71,9
217,33,2,11,5,71.62,42,62.61,24
218,34,2,11,9,96.89,57,84.96,37
219,35,2,11,2,84.92,50,73.78,34
220,36,2,11,13,153.22,91,128.24,82
221,37,2,11,4,5.7,3,4.99,3
222,38,2,11,6,86.91,51,69.56,43
223,39,2,11,20,131.9,78,106.1,77
224,40,2,11,20,116.25,69,95.09,40
225,41,2,11,20,149.59,89,121.57,51
226,42,2,11,6,54.77,32,48.76,20
227,43,2,11,15,14.69,9,12.96,8
228,44,2,11,5,105.44,62,85.15,51
229,45,2,11,10,32.61,19,27.06,16
230,46,2,11,5,15.79,9,12.63,9
231,47,2,11,15,77.67,46,65.71,43
232,48,2,11,9,63.57,38,53.31,23
233,49,2,11,5,133.55,79,117.82,53
234,50,2,11,9,118.13,70,100.3,64
235,51,2,11,7,153.07,91,130.28,81
236,52,2,11,13,162.66,96,136.16,63
237,53,2,11,5,151.06,89,122.56,85
238,54,2,11,13,127.91,76,106.52,58
239,55,2,11,17,134.06,79,112.99,61
240,56,2,11,2,166.33,98,133.38,82
241,57,2,11,20,64.98,38,55.19,37
242,58,2,11,4,110.31,65,90.7,34
243,59,2,11,19,113.3,67,91.39,34
244,60,2,11,20,150.91,89,127.45,52
245,61,2,11,6,144.3,85,119.13,58
246,62,2,11,18,100.67,60,82.44,58
247,63,2,11,6,54.45,32,46.83,22
248,64,2,11,13,120.19,71,98.38,38
249,65,2,11,5,164.95,98,134.88,81
250,66,2,11,19,43.33,26,38.01,23
251,67,2,11,8,96.47,57,78.34,36
252,68,2,11,18,78.65,47,67.37,29
253,69,2,11,1,160.97,95,129.66,88
254,70,2,11,2,45.34,27,40.41,14
255,71,2,11,12,147.93,88,124.93,80
256,72,2,11,17,98.18,58,83.53,52
257,73,2,11,9,23.97,14,20.79,12
258,74,2,11,15,167.14,99,147.97,58
259,75,2,11,14,147.11,87,128.48,61
260,76,2,11,2,18.17,11,15.76,7
261,77,2,11,2,92.73,55,79.55,50
262,78,2,11,19,25.07,15,21.85,13
263,79,2,11,7,131.47,78,110.21,62
264,80,2,11,8,80.22,47,68.88,42
265,81,2,11,7,146.33,87,120.85,50
266,82,2,11,4,29.8,18,25.4,17
267,83,2,11,8,113.59,67,93.5,57
268,84,2,11,7,159.68,94,132.11,79
269,85,2,11,20,61.75,37,52.22,31
270,86,2,11,6,132.04,78,111.76,44
271,87,2,11,4,168.23,100,134.84,66
272,88,2,11,15,53.53,32,43.62,21
273,89,2,11,10,6.6,4,5.78,2
274,90,2,11,13,131.47,78,110.5,68
275,91,2,11,4,54.77,32,44.19,21
276,92,2,11,13,148.42,88,121.15,63
277,93,2,2,19,100.28,99,140.92,87
278,94,2,2,15,16.8,17,24.25,16
279,95,2,2,16,38.91,38,53.67,34
280,96,2,2,5,61.81,61,84.34,60
281,97,2,2,17,6.92,7,9.76,4
282,98,2,2,14,46.28,46,61.78,35
283,99,2,2,13,31.94,31,44.08,25
284,100,2,2,8,64.55,64,93.12,37
285,101,2,2,14,78.23,77,116.61,44
286,102,2,2,7,25.66,25,38.29,25
287,103,2,2,17,19.2,19,28.56,11
288,104,2,2,16,94.68,93,133.48,89
289,105,2,2,4,38.1,38,54.59,19
290,106,2,2,7,7.86,8,10.79,4
291,107,2,2,17,78.51,77,117.47,70
292,108,2,11,10,46.83,28,37.84,19
293,109,2,11,5,55.88,33,48.29,24
294,110,2,11,17,75.78,45,65.34,37
295,111,2,11,20,92.87,55,74.8,44
296,112,2,11,4,75.69,45,68.04,36
297,113,2,11,16,152.02,90,134.5,60
298,114,2,11,18,35.48,21,31.53,16
299,115,2,11,20,164.28,97,145.37,63
300,116,2,11,5,115.77,69,95.87,67
301,117,2,11,4,8.41,5,7.46,3
302,118,2,11,10,16.69,10,13.96,5
303,119,2,11,20,0.86,1,0.74,0
304,120,2,11,8,27.6,16,23.92,10
305,121,2,11,12,93.07,55,83.46,38
306,122,2,11,13,124.84,74,108.81,69
307,123,2,11,17,45.99,27,38.87,22
308,124,2,11,2,160.4,95,132.39,89
309,125,2,11,12,146.3,87,120.16,57
310,126,2,11,1,55.77,33,48.08,23
311,127,2,11,19,10.8,6,9.01,4
312,128,2,11,12,157.89,93,132.89,60
313,129,2,11,19,158.01,93,134.03,62
314,130,2,11,17,16.59,10,14.44,6
315,131,2,11,8,36.65,22,30.56,14
316,132,2,11,10,112.37,66,99.24,49
317,133,2,11,7,100.32,59,83.58,46
318,134,2,11,1,75.28,45,64.49,26
319,135,2,11,4,11.58,7,10.42,7
320,136,2,11,18,64.84,38,57.32,27
321,137,2,11,10,138.76,82,119.72,58
322,138,2,11,3,22.26,13,17.81,9
323,139,2,11,12,114.77,68,98.12,44
324,140,2,11,5,73.8,44,61.77,43
325,141,2,11,7,164.5,97,136.52,61
326,142,2,11,5,88.35,52,78.92,38
327,143,2,11,12,30.15,18,24.38,16
328,144,2,11,10,8.22,5,7.37,4
329,145,2,11,6,56.42,33,49.88,28
330,146,2,11,18,18.8,11,15.92,6
331,147,2,11,4,141.29,84,122.64,74
332,148,2,11,2,100.6,60,90.42,53
333,149,2,11,4,111.19,66,99.28,50
334,150,2,11,11,82.57,49,72.79,47
335,151,2,11,13,25.08,15,22.3,14
336,152,2,11,8,68.02,40,59.09,32
337,153,2,11,8,125.78,74,109.08,57
338,154,2,11,1,150.16,89,125.11,65
339,155,2,11,19,78.58,46,64.34,36
340,156,2,11,5,125.67,74,101.21,58
341,157,2,11,9,43.04,25,37.22,17
342,158,2,11,13,56.59,33,46.74,19
343,159,2,11,17,97.81,58,80.73,40
344,160,2,11,18,38.01,22,30.72,15
345,161,2,11,19,157.15,93,128.77,57
346,162,2,11,13,106.41,63,90.5,39
347,163,2,11,3,25.51,15,20.83,8
348,164,2,11,4,82.6,49,71.5,42
349,165,2,11,10,123.43,73,111.02,54
350,166,2,11,4,30.65,18,25,15
351,167,2,11,5,80.53,48,65.26,41
352,168,2,11,17,28.19,17,24.51,14
353,169,2,11,18,38.37,23,34.14,21
354,170,2,11,3,14.04,8,11.58,5
355,171,2,11,2,84.48,50,70.08,40
356,172,2,11,1,14.04,8,11.99,7
357,173,2,11,19,40.85,24,36.76,16
358,174,2,11,10,74.47,44,65.29,25
359,175,2,11,5,13.6,8,11.19,4
360,176,2,11,5,119.51,71,102.69,67
361,177,2,11,16,124.7,74,111.91,47
362,178,2,11,7,160.65,95,143.71,81
363,179,2,11,7,85.92,51,69.48,33
364,180,2,11,7,144.86,86,118.97,46
365,181,2,11,8,162.43,96,140.44,71
366,182,2,11,6,123.1,73,107.67,42
367,183,2,11,15,45.63,27,38.71,18
368,184,2,11,18,110.38,65,97.69,44
369,1,3,1,7,112.21,83,123.76,77
370,2,3,1,15,52.3,39,56.51,21
371,3,3,1,5,8.61,6,9.02,3
372,4,3,1,15,97.31,72,102.75,51
373,5,3,1,16,50.18,37,50.74,29
374,6,3,1,9,85.99,64,92.48,49
375,7,3,1,14,42.18,31,45.72,27
376,8,3,1,17,8.79,7,9.52,6
377,9,3,1,20,73.58,54,80.56,34
378,10,3,1,13,69.45,51,72.59,34
379,11,3,1,6,113.19,84,118.35,46
380,12,3,1,14,59.62,44,59.97,32
381,13,3,1,16,68.43,51,75.64,38
382,14,3,1,18,20.76,15,21.07,13
383,15,3,1,3,11.98,9,12.63,6
384,16,3,11,13,96.81,57,86.82,57
385,17,3,11,12,101.61,60,87.63,37
386,18,3,11,18,91.77,54,73.47,31
387,19,3,11,17,133.25,79,112.89,42
388,20,3,11,5,45.51,27,38.1,21
389,21,3,11,17,118.09,70,102.54,43
390,22,3,11,10,140.96,83,125.35,61
391,23,3,11,6,130.03,77,115.2,45
392,24,3,11,9,28.77,17,24.89,9
393,25,3,11,16,144.06,85,128.52,72
394,26,3,11,20,46.05,27,40.79,27
395,27,3,11,15,57.08,34,47.03,17
396,28,3,11,2,114.64,68,102.14,38
397,29,3,11,19,132.01,78,108.84,64
398,30,3,11,12,84.46,50,74.23,40
399,31,3,11,18,116.82,69,100.22,37
400,32,3,11,3,90.77,54,74.69,47
401,33,3,11,14,64.94,38,52.07,35
402,34,3,11,16,43.25,26,35.8,14
403,35,3,11,14,10.13,6,8.87,6
404,36,3,11,10,111.35,66,91.14,38
405,37,3,11,17,85.79,51,75.2,37
406,38,3,11,8,56.24,33,49.28,29
407,39,3,11,13,16.35,10,13.67,6
408,40,3,11,14,34.35,20,29.58,20
409,41,3,11,10,162.06,96,131.7,71
410,42,3,11,5,131.32,78,117.04,43
411,43,3,11,9,87.54,52,77.24,49
412,44,3,11,13,152.91,90,131.77,83
413,45,3,11,6,130.7,77,105.32,70
414,46,3,11,3,47.1,28,37.94,23
415,47,3,11,19,116.06,69,100.82,48
416,48,3,11,8,143.9,85,129.08,70
417,49,3,11,19,48.76,29,39.42,25
418,50,3,11,10,29.77,18,24.5,16
419,51,3,11,19,36.83,22,29.77,16
420,52,3,11,10,2.85,2,2.36,1
421,53,3,11,18,2.99,2,2.54,2
422,54,3,11,16,139.68,83,119.13,58
423,55,3,11,17,38.62,23,34.62,15
424,56,3,11,14,108.07,64,89.08,45
425,57,3,11,8,147.66,87,132.72,67
426,58,3,11,20,126.75,75,113.42,68
427,59,3,11,16,25.58,15,21.36,15
428,60,3,11,13,13.81,8,12.22,4
429,61,3,11,8,19.3,11,16.59,11
430,62,3,11,2,114.3,68,100.59,52
431,63,3,11,3,67.81,40,60.75,30
432,64,3,11,12,129.06,76,106.75,41
433,65,3,11,9,18.02,11,15.25,10
434,66,3,11,12,69.82,41,59.77,33
435,67,3,11,4,117.22,69,101.15,39
436,68,3,11,5,134.74,80,114.14,72
437,69,3,11,8,161.92,96,133.47,80
438,70,3,11,10,160.35,95,128.87,56
439,71,3,11,15,124.66,74,106.17,61
440,72,3,11,7,103.55,61,87.7,53
441,73,3,11,3,61.33,36,50.57,23
442,74,3,11,3,167.76,99,141.16,88
443,75,3,11,1,124.79,74,100.69,58
444,76,3,11,1,113.84,67,98.91,38
445,77,3,11,2,119.69,71,106.14,59
446,78,3,11,8,42.43,25,37.7,23
447,79,3,11,10,101.06,60,88.68,38
448,80,3,11,7,90.26,53,75.14,40
449,81,3,11,6,11.97,7,9.97,7
450,82,3,11,13,113.42,67,100.56,55
451,83,3,11,14,81.42,48,72.75,39
452,84,3,11,3,6.81,4,5.99,3
453,85,3,11,3,118.52,70,106.65,49
454,86,3,11,12,46.68,28,38.82,24
455,87,3,11,5,104.73,62,85.52,39
456,88,3,11,11,127.76,76,108.05,46
457,89,3,11,7,12.42,7,10.01,7
458,90,3,11,1,2.58,2,2.15,1
459,91,3,11,10,22.77,13,20.28,9
460,92,3,11,4,150.03,89,123.74,68
461,93,3,2,11,80.63,80,120.91,42
462,94,3,2,2,78.39,77,108.94,64
463,95,3,2,4,33.09,33,44.56,31
464,96,3,2,18,69.98,69,104.59,43
465,97,3,2,2,85.8,85,117.05,73
466,98,3,2,14,2.17,2,3.25,2
467,99,3,2,5,88.64,87,124.85,87
468,100,3,2,5,10.74,11,14.94,8
469,101,3,2,13,91.91,91,136.27,52
470,102,3,2,18,8.57,8,11.87,6
471,103,3,2,13,29.47,29,40.76,21
472,104,3,2,8,66.64,66,93.24,48
473,105,3,2,7,94.72,93,135.27,53
474,106,3,2,6,66.41,65,92.41,45
475,107,3,2,7,63.32,62,87.47,54
476,108,3,11,18,98.99,59,88.45,33
477,109,3,11,17,168.04,99,139.78,66
478,110,3,11,11,94.43,56,81.94,43
479,111,3,11,16,69.87,41,60.23,39
480,112,3,11,4,41.18,24,34.92,14
481,113,3,11,16,56.8,34,49.49,19
482,114,3,11,8,130.41,77,109.88,53
483,115,3,11,4,150.06,89,126.27,48
484,116,3,11,20,124.05,73,102.72,45
485,117,3,11,13,121.95,72,107.02,56
486,118,3,11,13,115.67,68,98.14,36
487,119,3,11,17,71.61,42,59.85,39
488,120,3,11,3,135.47,80,117.39,62
489,121,3,11,9,44.44,26,37.03,23
490,122,3,11,19,160.98,95,130.39,78
491,123,3,11,15,99.2,59,82.71,42
492,124,3,11,20,90.9,54,74.11,37
493,125,3,11,20,98.15,58,82.02,42
494,126,3,11,12,46.36,27,41.11,15
495,127,3,11,8,148.6,88,121.63,84
496,128,3,11,19,19.64,12,15.9,10
497,129,3,11,7,56.57,33,45.66,27
498,130,3,11,7,131.5,78,111.5,44
499,131,3,11,18,150.44,89,127.01,68
500,132,3,11,5,88.7,52,76.1,38
501,133,3,11,6,137.27,81,114.73,63
502,134,3,11,9,13.18,8,11.06,5
503,135,3,11,19,160.45,95,139.1,51
504,136,3,11,13,156.76,93,128.71,79
505,137,3,11,18,15.2,9,13.17,6
506,138,3,11,11,159.76,95,133.08,92
507,139,3,11,19,14.83,9,12.26,7
508,140,3,11,20,110.06,65,92.26,46
509,141,3,11,7,112.04,66,99.1,49
510,142,3,11,1,63.19,37,53.01,37
511,143,3,11,9,26.1,15,22.15,14
512,144,3,11,7,153.27,91,127.06,87
513,145,3,11,9,73.06,43,63.93,29
514,146,3,11,16,41.89,25,34.45,17
515,147,3,11,20,148.22,88,121.77,52
516,148,3,11,15,33.84,20,27.85,19
517,149,3,11,8,98.2,58,82.45,41
518,150,3,11,20,147.06,87,121.22,83
519,151,3,11,16,30.32,18,26.5,14
520,152,3,11,19,57.24,34,49.18,29
521,153,3,11,8,163.14,97,143.18,92
522,154,3,11,16,6.94,4,5.8,4
523,155,3,11,15,33.37,20,29.07,18
524,156,3,11,19,107.24,63,88.47,43
525,157,3,11,18,127.52,75,114.09,39
526,158,3,11,15,65.19,39,58.62,25
527,159,3,11,7,92.01,54,76.9,29
528,160,3,11,18,60.54,36,49.68,24
529,161,3,11,11,54.48,32,45.47,29
530,162,3,11,19,157.65,93,132.22,57
531,163,3,11,6,139.74,83,124.67,58
532,164,3,11,2,74.54,44,63.22,27
533,165,3,11,4,65.41,39,54.85,23
534,166,3,11,5,159.28,94,128.54,61
535,167,3,11,1,69.29,41,57.98,36
536,168,3,11,8,72.47,43,59.77,42
537,169,3,11,19,67.99,40,56.19,21
538,170,3,11,11,166.34,98,143.8,84
539,171,3,11,11,73.29,43,61.12,42
540,172,3,11,13,115.7,68,95.22,35
541,173,3,11,1,33.43,20,26.93,14
542,174,3,11,12,135.57,80,115.09,69
543,175,3,11,12,61.15,36,50.52,32
544,176,3,11,9,57.2,34,46.95,20
545,177,3,11,7,5.69,3,4.96,2
546,178,3,11,3,98.85,58,84.49,46
547,179,3,11,4,48.91,29,43.78,22
548,180,3,11,18,95.56,57,77.4,30
549,181,3,11,8,42.46,25,34.83,18
550,182,3,11,11,152.8,90,125.59,87
551,183,3,11,6,2.57,2,2.09,1
552,184,3,11,19,20.42,12,17.63,7
553,1,4,1,12,49.55,37,50.56,35
554,2,4,1,9,41.23,30,46.03,20
555,3,4,1,18,56.89,42,63.97,33
556,4,4,1,15,111.61,83,124.36,55
557,5,4,1,19,97.66,72,108.52,58
558,6,4,1,1,132.72,98,135.42,52
559,7,4,1,9,78.45,58,79.53,49
560,8,4,1,4,101.58,75,105.17,39
561,9,4,1,13,91.2,67,98.36,63
562,10,4,1,3,5.9,4,6.38,4
563,11,4,1,14,18.59,14,18.76,12
564,12,4,1,18,89.94,67,98.46,38
565,13,4,1,3,114.95,85,119.44,68
566,14,4,1,3,112.38,83,113.96,69
567,15,4,1,11,92.44,68,97.96,59
568,16,4,11,20,22.88,14,19.61,9
569,17,4,11,5,130.6,77,109.6,41
570,18,4,11,18,95.18,56,77.35,35
571,19,4,11,4,76.47,45,63.78,43
572,20,4,11,12,126.86,75,109.42,63
573,21,4,11,14,20.29,12,18.22,10
574,22,4,11,7,10.54,6,8.48,5
575,23,4,11,15,106.76,63,92.51,50
576,24,4,11,15,106.06,63,94.21,47
577,25,4,11,15,23.86,14,20.04,8
578,26,4,11,10,19.23,11,16.01,9
579,27,4,11,18,90.5,54,73.03,34
580,28,4,11,5,45.69,27,37.21,19
581,29,4,11,4,147.93,88,127.06,75
582,30,4,11,20,62.58,37,55.64,34
583,31,4,11,9,20.98,12,17.96,8
584,32,4,11,11,52.26,31,45.7,29
585,33,4,11,13,97.58,58,86.95,33
586,34,4,11,8,66.93,40,55.7,25
587,35,4,11,6,156.98,93,132.85,84
588,36,4,11,3,152.33,90,122.41,47
589,37,4,11,4,30.22,18,24.66,13
590,38,4,11,7,101.53,60,89.83,45
591,39,4,11,5,158.65,94,141.62,56
592,40,4,11,19,139.26,82,120.04,62
593,41,4,11,11,160.11,95,137.95,52
594,42,4,11,18,91.22,54,76.27,33
595,43,4,11,12,7.41,4,6.36,3
596,44,4,11,8,64.4,38,55.69,30
597,45,4,11,3,64.05,38,55.09,29
598,46,4,11,12,130,77,113.84,40
599,47,4,11,8,151.54,90,133.61,77
600,48,4,11,5,91.46,54,75.7,43
601,49,4,11,11,61.7,37,50.94,36
602,50,4,11,5,124.55,74,102.8,59
603,51,4,11,17,82.94,49,74.07,48
604,52,4,11,3,76.71,45,62.3,36
605,53,4,11,7,151.37,90,127.47,66
606,54,4,11,2,155.99,92,140.01,85
607,55,4,11,2,167.06,99,146.33,86
608,56,4,11,2,36.33,21,32.54,21
609,57,4,11,15,2.12,1,1.86,1
610,58,4,11,20,38.93,23,34.16,18
611,59,4,11,1,135.11,80,113.3,77
612,60,4,11,12,149.07,88,129.24,85
613,61,4,11,15,2.11,1,1.74,1
614,62,4,11,16,105.66,63,87.86,62
615,63,4,11,14,28.73,17,24.41,12
616,64,4,11,14,79.38,47,68.64,34
617,65,4,11,15,113.42,67,98.56,44
618,66,4,11,6,67.13,40,54.5,28
619,67,4,11,8,1.69,1,1.49,1
620,68,4,11,3,56.36,33,45.16,29
621,69,4,11,19,94.26,56,83.89,37
622,70,4,11,12,91.06,54,79.06,54
623,71,4,11,1,145.33,86,117.1,56
624,72,4,11,11,120.34,71,102.02,64
625,73,4,11,14,67.7,40,58.35,34
626,74,4,11,6,135.26,80,119.21,44
627,75,4,11,9,83.7,50,75.23,31
628,76,4,11,15,81.65,48,67.14,40
629,77,4,11,4,163.85,97,132.75,93
630,78,4,11,16,146.15,86,128.23,44
631,79,4,11,12,89.29,53,78.78,31
632,80,4,11,16,26.08,15,22.26,15
